discipline,year,papers,oa_rate,open_material_rate,github_rate,zenodo_rate,osf_rate,dataset_rate,preregistered_rate,preprint_rate,high_impact_rate,non_oa_open_signal_rate,open_science_any_rate,mean_open_science_score,mean_citations,composite_index,hi_papers,hi_oa_rate,hi_open_material_rate,hi_github_rate,hi_dataset_rate,hi_preregistered_rate,hi_preprint_rate
cardiology,2025,15183,0.6990713297767239,0.01705855232826187,0.00032931568201277747,0.015214384508990318,0.0007244945004281104,0.0007903576368306659,0.0,0.0,0.00862807086873477,0.01705855232826187,0.699203056049529,0.056036774599918786,2.8743989988803267,14.43,131,0.8396946564885496,0.007633587786259542,0.0,0.007633587786259542,0.0,0.0
cardiology,2026,12117,0.6739291903936618,0.11149624494511842,0.0015680448956012214,0.06915903276388545,0.005529421473962202,0.035652389205248824,0.0,0.0,0.0013204588594536602,0.11149624494511842,0.6740117190723777,0.057693572204993486,0.12824956672443674,16.99,16,0.125,0.0,0.0,0.0,0.0,0.0
neurology,2015,12999,0.40387722132471726,0.010693130240787753,0.0,0.0012308639126086623,0.0,0.00946226632817909,0.0,0.0,0.1984768059081468,0.010693130240787753,0.4039541503192553,0.009316031478398185,21.242557119778443,8.53,2580,0.5612403100775194,0.0034883720930232558,0.0,0.0031007751937984496,0.0,0.0
neurology,2016,13587,0.42732023257525575,0.017590343710900125,0.0,0.0022815926989033634,7.359976448075366e-05,0.015235151247516008,0.0,0.0,0.1803930227423272,0.017590343710900125,0.4273938323397365,0.012064833456412086,19.516375947596966,9.29,2451,0.5650754793961649,0.006527947776417789,0.0,0.004895960832313341,0.0,0.0
neurology,2017,15005,0.4005998000666445,0.01846051316227924,0.0001999333555481506,0.0019326891036321227,0.00013328890369876707,0.016194601799400198,0.0,0.0,0.16541152949016993,0.01846051316227924,0.4005998000666445,0.011312104623827857,18.822859046984338,8.8,2482,0.5834004834810637,0.0032232070910556,0.0,0.0016116035455278,0.0,0.0
neurology,2018,15227,0.43954817101201815,0.010507650883299403,0.0001970184540618638,0.003217968083010442,0.0,0.007092664346227097,0.0,0.0,0.16135811387666646,0.010507650883299403,0.4396795166480594,0.013454545434703251,17.855454127536614,9.2,2457,0.6166056166056166,0.004884004884004884,0.0,0.004477004477004477,0.0,0.0
neurology,2019,15840,0.4681818181818182,0.012563131313131312,0.00012626262626262626,0.003851010101010101,6.313131313131313e-05,0.008585858585858586,0.0,0.0,0.1428661616161616,0.012563131313131312,0.4681818181818182,0.016011803397687943,15.821527777777778,9.85,2263,0.6531153336279275,0.007512152010605391,0.0008837825894829872,0.006628369421122404,0.0,0.0
neurology,2020,17445,0.5633705932932073,0.011636572083691602,0.00011464603038119805,0.005044425336772714,0.00011464603038119805,0.006362854686156492,0.0,0.0,0.1399828030954428,0.011636572083691602,0.5634852393235884,0.015279129720794725,16.33298939524219,11.69,2442,0.7371007371007371,0.002457002457002457,0.0,0.002457002457002457,0.0,0.0
neurology,2021,18067,0.601981513256213,0.019870482094426302,0.00022139812918580838,0.007250788730835224,0.0002767476614822605,0.01217689710521946,0.0,0.0,0.1029501300714009,0.019870482094426302,0.6020368627885094,0.014968937705139244,12.078596335860961,12.78,1860,0.7758064516129032,0.002150537634408602,0.0,0.002150537634408602,0.0,0.0
neurology,2022,16857,0.6223527318028119,0.01981372723497657,0.0007118704395799964,0.010084831227383283,0.00023729014652666548,0.008957703031381622,0.0,0.0,0.07385655810642464,0.01981372723497657,0.6224120543394436,0.01617385306570226,10.0427122263748,13.13,1245,0.8192771084337349,0.005622489959839358,0.0008032128514056225,0.00321285140562249,0.0,0.0
